                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 3.0667,                 4.5759,                 2.7938,                      0,                      0,                      0,                      0,                 2.8805,                 5.8472,                 2.8013,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.4937,                 4.6482,                  2.586,                      0,                      0,                      0,                      0,                 2.8805,                 5.8472,                 2.8013,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.2306,                 4.6933,                 2.4214,                      0,                      0,                      0,                      0,                 2.8805,                 5.8472,                 2.8013,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.2409,                 5.0297,                  2.411,                      0,                      0,                      0,                      0,                 2.9139,                 5.8293,                  2.804,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.1477,                 4.5622,                 2.5304,                      0,                      0,                      0,                      0,                 2.9139,                 5.8293,                  2.804,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.4321,                 4.6098,                 2.3442,                      0,                      0,                      0,                      0,                 2.9139,                 5.8293,                  2.804,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.4552,                 4.7857,                 2.5512,                      0,                      0,                      0,                      0,                 2.9139,                 5.8293,                  2.804,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.1858,                 4.6433,                 2.3925,                      0,                      0,                      0,                      0,                 2.8997,                 5.8413,                 2.7905,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.2105,                 4.6679,                 2.5166,                      0,                      0,                      0,                      0,                 2.8997,                 5.8413,                 2.7905,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.1573,                 4.7028,                 2.2821,                      0,                      0,                      0,                      0,                 2.8997,                 5.8413,                 2.7905,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.3104,                 4.7778,                 2.4412,                      0,                      0,                      0,                      0,                 2.8997,                 5.8413,                 2.7905,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.3502,                 4.8395,                  2.649,                      0,                      0,                      0,                      0,                 2.8885,                 5.8387,                 2.7917,             2.3444e-06,             2.3444e-06,             2.3444e-06
